MainID,CrossStreetMainID,STREET,FROM,TO,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
1846,1986,MORRILL STREET,PLEASANT STREET,BAKERSFIELD STREET,3,12:00:00.0000000,16:00:00.0000000,Odd,0.0833,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1847,573,PRICE ROAD,GLENVILLE AVENUE,LONG AVENUE,4,08:00:00.0000000,12:00:00.0000000,Even,0.058,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1848,1424,PORTER STREET,HAVRE STREET,CHELSEA STREET,9,08:00:00.0000000,12:00:00.0000000,Odd,0.1352,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1849,1246,MORRIS STREET,MARION STREET,PUTNAM STREET,9,12:00:00.0000000,16:00:00.0000000,Even,0.2269,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1850,2281,MORRIS STREET,MARION STREET,PUTNAM STREET,9,12:00:00.0000000,16:00:00.0000000,Odd,0.2269,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1851,150,MORSE STREET,WASHINGTON STREET,RONALD STREET,3,12:00:00.0000000,16:00:00.0000000,Even,0.0697,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1852,1714,MORSE STREET,WASHINGTON STREET,RONALD STREET,3,12:00:00.0000000,16:00:00.0000000,Odd,0.0697,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1853,2934,MORTON STREET,SOUTH STREET,AMERICAN LEGION HWY,99,08:00:00.0000000,12:00:00.0000000,Even,1.3174,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1854,2932,MORTON STREET,WASHINGTON STREET,BLUE HILL AVENUE,99,08:00:00.0000000,12:00:00.0000000,Odd,1.8019,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
1855,719,MOSELEY STREET,CRESCENT AVENUE,SYDNEY STREET,3,08:00:00.0000000,12:00:00.0000000,Even,0.1581,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1856,1998,MOSELEY STREET,CRESCENT AVENUE,SYDNEY STREET,3,08:00:00.0000000,12:00:00.0000000,Odd,0.1581,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1857,1536,MOULTON STREET,BUNKER HILL STREET,VINE STREET,1C,08:00:00.0000000,12:00:00.0000000,Even,0.0322,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1858,1247,MOULTON STREET,BUNKER HILL STREET,VINE STREET,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.0322,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1859,1072,MOULTRIE STREET,ALLSTON STREET,WASHINGTON STREET,7,08:00:00.0000000,12:00:00.0000000,Even,0.2638,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1860,2161,MOULTRIE STREET,ALLSTON STREET,WASHINGTON STREET,7,08:00:00.0000000,12:00:00.0000000,Odd,0.2638,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1861,1093,MOUNTAIN AVENUE,WOODROW AVENUE,BALLOU AVENUE,7,08:00:00.0000000,12:00:00.0000000,Odd,0.2331,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1862,1661,MOUNTAIN AVENUE,WOODROW AVENUE,BALLOU AVENUE,7,08:00:00.0000000,12:00:00.0000000,Even,0.2331,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1863,148,MOUNT BOWDOIN TERRACE,ELDON STREET,MALLON ROAD,3,12:00:00.0000000,16:00:00.0000000,Even,0.1725,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
