partner_id,partner_name,name,address,lat,lon,head,id
2523,Parking Panda,45 Sutton Place South,45 Sutton Place South,40.7554379,-73.962105,84.41,KQ3AcUSQwW2htY5NEnEuIg
5274,Parking Panda,64th West End Park LLC,285 W 64th St,40.7751193,-73.9890256,331.81,NIqglRs5XPDKDB2YjoOorg
4896,Parking Panda,Soho Village Parking LLC,156 Crosby St,40.7254076,-73.9956847,306.32,01xYu16vbe0xzhSK74dwFA
5099,Parking Panda,101 West End Parking LLC,309 W 64th St,40.7751678,-73.9891357,4.48,T1DACeEM7LWX9sDDd0UBTQ
5093,Parking Panda,100 Riverside Parking LLC,415 W 64th St,40.7754147,-73.9897272,30.59,9arhKtF0nSx2RVX8gZ0CgA
5326,Parking Panda,80 Riverside Parking LLC,416 W 64th St,40.7754623,-73.9898418,175.07,V9L1lIj9-I6HQTvYYpsuwQ
5390,Parking Panda,Greenwich Street Parking LLC,120 King St,40.7281682,-74.0086979,149.01,IROkVudlAQL58kosnp8WIA
5146,Parking Panda,165 W 66th St Park LLC,165 W 66th St,40.7744878,-73.9836383,29,YGR2EagVhVqHCXE2R6vDGQ
5034,Parking Panda,Capital Parking LLC,166 E 63rd St,40.764301,-73.9653504,245.04,54ajtA1qRVS3AlzFV4fBgw
5187,Parking Panda,Comfort Parking LLC,303 Elizabeth St,40.7250856,-73.9932112,312.89,Nssczw9VX7WQ4ss50BB08g
5333,Parking Panda,King 67 LLC,201 W 66th St,40.7750757,-73.985022,344.72,DiVNiuZetl72Jnr42XqonQ
5281,Parking Panda,Uptown Parking LLC,205 E 63rd St,40.7638658,-73.9642787,52.95,VycA5b_WHjddA1In2dj8mA
5192,Parking Panda,Custom Parking LLC,186 E 64th St,40.7648971,-73.9648022,174.94,mN1vVnjLramaJ7aokZpQXw
4892,Parking Panda,Omni Parking LLC,179 W 68th St,40.7759066,-73.9831542,26.54,qQiYzdQI6S3urKa24XmqxA
5321,Parking Panda,Bristol 65 Parking LLC,210 E 65th St,40.7649863,-73.9630755,182,Qj8pwGwKoGeal5QxsL1QKQ
5285,Parking Panda,Varick Street Parking LLC,118 Varick St,40.7250209,-74.0057565,149.01,1WZy3A-6R3xQnQ0CU3CJNg
5203,Parking Panda,Eastside 65th Parking LLC,279 E 65th St,40.7645421,-73.9620128,20.31,R73XcDBvpi_HwaBM910l0g
2120,Parking Panda,200 West End Avenue,200 West End Avenue,40.7783638,-73.9851498,165.72,18WMZCaGUQzzZL8lFyHaRw
2934,Parking Panda,405 E 63rd St,405 E 63rd St,40.7617619,-73.9592914,19.66,o3A8JGxOBaL_J3yUFaBuwA
2935,Parking Panda,220 E 67th St,220 E 67th St,40.7660751,-73.961796,224.34,Q34eDAM1TpijjVC8CzrOLg
3578,Parking Panda,4705 Center Blvd,4705 Center Blvd,40.7456657,-73.9556053,258.05,YLdmjSZF4KFIg7VW2RnxFQ
1193,Parking Panda,360 E 65th St,360 E 65th St,40.7635926,-73.9597692,160.94,sHwtszygnYpaamInWOhUKw
4887,Parking Panda,Highrise Parking LLC,210 W 71st St,40.7782062,-73.9827861,219.66,j6-Z8UMQsrnNJOuCkptJDg
5877,Parking Panda,265 Garage,250 E 67th St,40.7657763,-73.9610979,226.02,NfKS1LBzcHWBqcS7lzS7hw
4905,Parking Panda,220 Riverside Parking LLC,415 W 70th St,40.7792509,-73.9872793,358.92,_ugiBnfBKrdc8crQTLssBA
3406,Parking Panda,15 W 72nd St,15 W 72nd St,40.7765795,-73.9768144,34.66,uyDVdu5_e4h_6yzLfGRWag
2248,Parking Panda,395 Broome Street,395 Broome Street,40.7206139,-73.9971175,236.15,FKDp1cE_5vgMq2o3eBd6Xw
5223,Parking Panda,240 Riverside Parking LLC,415 W 71st St,40.7800212,-73.9870912,63.96,Qtcj2V7yhGhdWI6nsMuXJQ
1167,Parking Panda,6 Wooster Street,6 Wooster Street,40.7213288,-74.0035425,165.36,hcKIIDr9spQRPfL9Q3jRSw
5308,Parking Panda,Laight Street Parking LLC,92 Laight St,40.7222597,-74.0111614,329.84,bnXi-htzigqYNbCgmsiZ0Q
5389,Parking Panda,Granite Parking LLC,312 E 70th St,40.7671609,-73.9585444,169.9,tf2lTQFIVYwrRvvtSFCLZg
2985,Parking Panda,16 Hubert St,16 Hubert St,40.7214456,-74.0095638,52.24,mTKj2mWer8hvKUJAcQFM3A
2242,Parking Panda,Icehouse Garage,30 Ericsson Pl,40.7205296,-74.0076478,163.34,IvrBBhJuGlpk3LmDs3rXQw
3404,Parking Panda,35 E 75th St,35 E 75th St,40.7735325,-73.963542,26.61,xhZqxsZ5jmUQuNaRK5bGUw
5368,Parking Panda,Independent Parking LLC,417 E 71st St,40.7666906,-73.9554831,343.86,YvsNRRb9pODPKbF1CIxGJg
5340,Parking Panda,Integrity Parking LLC,318 E 73rd St,40.7690149,-73.9567336,244.58,fi7CJErMxynU9MVufXe4bw
5089,Parking Panda,Patriot E Parking LLC,376 Greenwich St,40.719784,-74.0102069,277.03,8zDKSAVgyrop62kBkiHPTw
5086,Parking Panda,Patriot D Parking LLC,370 Greenwich St,40.719784,-74.0102069,268.11,8zDKSAVgyrop62kBkiHPTw
5083,Parking Panda,Patriot C Parking LLC,40 Harrison St,40.7189172,-74.0112761,5.06,79vsq7joedTM11p42fgmgw
5151,Parking Panda,Equity Parking LLC,245 E 75th St,40.7708693,-73.9572111,348.13,v8SEo1bRxB_59qu4-w8O9Q
4906,Parking Panda,Patriot B Parking LLC,35 Harrison St,40.7189344,-74.0114167,146.99,bpY0K2l72xfd1r-voFipTg
4344,Parking Panda,254 W 79th St,254 W 79th St,40.7842066,-73.980806,168.06,4jYfF5KHdPz__A-6PkQa2A
2576,Parking Panda,401 East 74th Street,401 East 74th Street,40.7688601,-73.9544237,51.3,2AgjUxRuxodrbd2_mNPjOQ
4886,Parking Panda,East River 72nd Garage LLC,515 E 72nd St,40.7666425,-73.9532479,23.33,dZ1hRwB4qMvBqyKxAi-p0w
5109,Parking Panda,Century Parking LLC,330 E 75th St,40.7699562,-73.9550698,33.17,uXNt_TolIRWebJcsnLJbew
5082,Parking Panda,Patriot A Parking LLC,328 Greenwich St,40.7178976,-74.0105435,279.27,gcAO_WwJtuNOjL5bdjTV5w
5362,Parking Panda,95 Worth Parking LLC,95 Worth St,40.7160738,-74.0040946,359.77,C-U9bQfMrkJas-e5nLON8g
3442,Parking Panda,The Empire,188 E 78th St,40.7738387,-73.9583563,173.04,Mkv-3Dv_hncHM9vE4rIy8g
4610,Parking Panda,300 E 77th St,300 E 77th St,40.7718356,-73.9555651,208.84,8m8CDK9kZYZrvO_bo90XKQ
5876,Parking Panda,One East Garage,573 E 73rd St,40.7668322,-73.951585,176.34,X00bO3xwvjhNC36g6DgoIg
2253,Parking Panda,24 Columbia Street,24 Columbia Street,40.7158778,-73.9808122,151.91,-h6iurQxT5HcZzHKk4jbqg
5054,Parking Panda,79th St. Parking LLC,90 E 80th St,40.7765566,-73.9605637,182.42,7OlqPUg5Eq7rLDTC_yXdDQ
5273,Parking Panda,Ultra Park LLC,274 W 81st St,40.7854258,-73.9796346,204.32,Iu2nOHz3veFBnDduNKiYcw
5394,Parking Panda,Greenlux Parking LLC,300 N End Ave,40.7168807,-74.0140436,194.98,64vXyn41Kp60nZhw7b51aA
1630,Parking Panda,56 Warren Street,56 Warren Street,40.7150221,-74.009847,228.25,CM-BT7GqctW-46-AqyMRJw
4933,Parking Panda,79th Street,431 E 78th St,40.771027,-73.9516736,49.78,8QftfEli_-16HIyRjN7kBA
