code,description,periods,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,restrict_types,permit_no
R7-PKAPD,NO PARKING 6-9AM 3-7PM EXCEPT SAT-SUN-HOL,,,6,9,3,1,1,1,1,1,,,,,,
R7-PKAPD,NO PARKING 6-9AM 3-7PM EXCEPT SAT-SUN-HOL,,,15,19,4,1,1,1,1,1,,,,,,
R7-PKAPDR,NO PARKING 6-9A EXP SAT SUN HOL,,,6,9,3,1,1,1,1,1,,,,,,
R7-PKAPDR-1,NO PARKING 6-9A 3-7P EXP SAT SUN HOL,,,6,9,3,1,1,1,1,1,,,,,,
R7-PKAPDR-1,NO PARKING 6-9A 3-7P EXP SAT SUN HOL,,,15,19,4,1,1,1,1,1,,,,,,
R7-PKAPDX,NO PARKING 3-7PM WEEKDAYS 9AM-3PM SAT-SUN-HOL,,,15,19,4,1,1,1,1,1,,,,,,
R7-PKAPDX,NO PARKING 3-7PM WEEKDAYS 9AM-3PM SAT-SUN-HOL,,,9,15,6,,,,,,1,1,,holiday,,
R7-PKAPDX-1,NO PARKING 7-9AM 3-7PM EXCEPT SAT-SUN-HOL,,,7,9,2,1,1,1,1,1,,,,,,
R7-PKAPDX-1,NO PARKING 7-9AM 3-7PM EXCEPT SAT-SUN-HOL,,,15,19,4,1,1,1,1,1,,,,,,
R7-PKAPDX-2,NO PARKING PEAK TIMES TAZ,,,15,19,4,1,1,1,1,1,,,,,,
R7-PKAPDX-3,NO PARKING 3-7PM WEEKDAYS 9AM-3PM SAT-SUN-HOL,,,15,19,4,1,1,1,1,1,,,,,,
R7-PKAPDX-3,NO PARKING 3-7PM WEEKDAYS 9AM-3PM SAT-SUN-HOL,,,9,15,6,,,,,,1,1,,holiday,,
R7-PKP,NO PARKING 4-6 PM EXC SAT-SUN-HOL,,,16,18,2,1,1,1,1,1,,,,,,
R7-PKPB,NO PARKING 3-6 PM EXC SAT-SUN-HOL TAZ,,,15,18,3,1,1,1,1,1,,,,,,
R7-PKPD,NO PARKING 3-7 PM EXC SAT-SUN-HOL TAZ,,,15,19,4,1,1,1,1,1,,,,,,
R7-PKTA,NO PARKING EXC SAT-SUN-HOL,,,0,24,24,1,1,1,1,1,,,,,,
R7-PKTA-1,NO PARKING 7AM-5PM EXC SAT-SUN-HOL,,,7,17,10,1,1,1,1,1,,,,,,
R7-PKTA-2,"NO PARKING 10PM-6AM, EVERYDAY",,,22,24,2,,,,,,,,1,,,
R7-PKTA-2,"NO PARKING 10PM-6AM, EVERYDAY",,,0,6,6,,,,,,,,1,,,
R7-PKTA-3,NO PARKING 8-10AM 2-4PM EXC SAT-SUN-HOL,,,8,10,2,1,1,1,1,1,,,,,,
R7-PKTA-3,NO PARKING 8-10AM 2-4PM EXC SAT-SUN-HOL,,,14,16,2,1,1,1,1,1,,,,,,
R7-PKTA-4,NO PARKING 7AM-6PM EXC SAT-SUN-HOL,,,7,18,11,1,1,1,1,1,,,,,,
R7-PKTA-5,NO PARKING 7AM-5PM EXC SAT-SUN-HOL,,,7,17,10,1,1,1,1,1,,,,,,
R7-PKTA-6,NO PARKING 6AM-7PM MON-FRI,,,6,19,13,1,1,1,1,1,,,,,,
R7-PKTA-7,NO PARKING 7AM-6PM EXC SAT-SUN-HOL,,,7,18,11,1,1,1,1,1,,,,,,
R7-PKTA-8,NO PARKING 3-6PM EXC SAT-SUN-HOL TAZ,,,15,18,3,1,1,1,1,1,,,,,,
R7-PKTA-9,NO PARKING EXC SAT-SUN-HOL TAZ,,,0,24,24,1,1,1,1,1,,,,,,
R7-RPZ10,NO PARKING 6P-12A EXC BY ZN 10 PERMIT,,,18,24,6,,,,,,,,1,,permit,10
R7-RPZ10X,NO PARKING 8P-7A EXC BY ZN 10 PERMIT,,,20,24,4,,,,,,,,1,,permit,10
R7-RPZ10X,NO PARKING 8P-7A EXC BY ZN 10 PERMIT,,,0,7,7,,,,,,,,1,,permit,10
R7-RPZ13,NO PARKING 6PM-12AM EXC BY ZN 13 PERMIT,,,18,24,6,,,,,,,,1,,permit,13
R7-RPZ21,"NO PARKING 6P-8A, EXC BY ZN 21 PERMIT",,,18,24,6,,,,,,,,1,,permit,21
R7-RPZ21,"NO PARKING 6P-8A, EXC BY ZN 21 PERMIT",,,0,8,8,,,,,,,,1,,permit,21
R7-RPZ25,"NO PARKING 9A-4P MON-FRI, EXC BY ZN 25 PERMIT",,,9,16,7,1,1,1,1,1,,,,,permit,25
R7-RPZ27,"NO PARKING 8P-12A MON-SAT, EXC BY ZN 27 PERMIT",,,20,24,4,1,1,1,1,1,1,,,,permit,27
R7-RPZ3,"NO PARKING 2A-5A, EXC BY ZN 3 PERMIT",,,2,5,3,,,,,,,,1,,permit,3
R7-RPZ5,"NO PARKING 5P-12A, EXC BY ZN 5 PERMIT",,,17,24,7,,,,,,,,1,,permit,5
R7-RPZ6,"NO PARKING 6P-12A, EXC BY ZN 6 PERMIT",,,18,24,6,,,,,,,,1,,permit,6
