id_trc,rue_nom,rue_de,rue_a,id_trc_pair,rule_pair_1,rule_pair_2,id_trc_impair,rule_impair_1,rule_impair_2
1601336,Claude,Hickson,Église,16013362,MTLVER-12,MTLVER-37,16013361,MTLVER-14,MTLVER-35
1601658,Clémenceau,Churchill,Ouimet,16016582,MTLVER-13,MTLVER-35,16016581,MTLVER-10,MTLVER-37
1601672,Clémenceau,Lasalle,Churchill,16016722,MTLVER-13,MTLVER-35,16016721,MTLVER-10,MTLVER-37
1601353,Cool,Hickson,Église,16013532,MTLVER-14,MTLVER-35,16013531,MTLVER-12,MTLVER-37
1601656,Crawford,Churchill,Ouimet,16016562,MTLVER-12,MTLVER-38,16016561,MTLVER-15,MTLVER-44
1601675,Crawford,David,Churchill,16016752,MTLVER-12,MTLVER-38,16016751,MTLVER-15,MTLVER-44
1601641,Crawford,Dunver,Champlain,16016412,MTLVER-12,MTLVER-38,16016411,MTLVER-15,MTLVER-44
1601694,Crawford,Lasalle,David,16016942,MTLVER-12,MTLVER-38,16016941,MTLVER-15,MTLVER-44
1601646,Crawford,Ouimet,Penniston,16016462,MTLVER-12,MTLVER-38,16016461,MTLVER-15,MTLVER-44
1601644,Crawford,Penniston,Truman,16016442,MTLVER-12,MTLVER-38,16016441,MTLVER-15,MTLVER-44
1601643,Crawford,Truman,Dunver,16016432,MTLVER-12,MTLVER-38,16016431,MTLVER-15,MTLVER-44
1601680,David,Leclair,Crawford,16016802,MTLVER-15,MTLVER-35,16016801,MTLVER-17,MTLVER-37
1601679,David,Limite Hôpital Douglas,Leclair,16016792,MTLVER-15,MTLVER-35,16016791,MTLVER-17,MTLVER-37
1601615,Desmarchais,Bannantyne,Champlain,16016152,MTLVER-11,MTLVER-39,16016151,MTLVER-16,MTLVER-36
,Desmarchais,Piste piétonne,Lasalle,,MTLVER-NP,,,MTLVER-NP,
1601471,Desmarchais (nord),Lasalle,Wellington,16014712,MTLVER-16,MTLVER-36,16014711,MTLVER-11,MTLVER-39
"1601436,1601440",Desmarchais (nord),Verdun,Bannantyne,"16014362,16014402",MTLVER-16,MTLVER-36,"16014361,16014401",MTLVER-11,MTLVER-39
"1601445,1601443",Desmarchais (nord),Wellington,Verdun,"16014452,16014432",MTLVER-16,MTLVER-36,"16014451,16014431",MTLVER-11,MTLVER-39
1601472,Desmarchais (sud),Lasalle,Wellington,16014722,MTLVER-11,MTLVER-39,16014721,MTLVER-16,MTLVER-36
"1601441,1601437",Desmarchais (sud),Verdun,Bannantyne,"16014412,16014372",MTLVER-11,MTLVER-39,"16014411,16014371",MTLVER-16,MTLVER-36
"1601446,1601447",Desmarchais (sud),Wellington,Verdun,"16014462,16014472",MTLVER-11,MTLVER-39,"16014461,16014471",MTLVER-16,MTLVER-36
